•ÈÀFID,objectid,id,name,road_front,suburb,lat,long,se_area_sh,se_length_,On_Off,Details,GlobalID
1,54,1,Wrights Hill,no,Karori,-41.293106,174.737967,0,0,Off leash,Off leash under control of owner,801ae149-aaa8-41f5-880b-7d469e3e5c25
2,55,1,Maupuia Walkway (Old Prison Rd),yes,Maupuia,,,0,0,Off leash,Off leash under control of owner,b349d83c-d0e4-4b61-ae88-db6dc0476add
3,56,1,Karori Park,no,Karori,-41.285932,174.723918,0,0,Off leash,Off leash under control of owner,956bf334-3582-44a9-b3ae-ebc3dcef8710
4,57,1,Kaiwharawhara Park,no,Kaiwharawhara,-41.254659,174.794535,0,0,Off leash with restrictions,Off leash 1 November to 31 January only.  Prohibited the rest of the year,00f1060d-9655-45f7-82ce-6cadd46e795b
5,58,1,Duncan Park,no,Tawa,-41.168878,174.829095,0,0,Off leash,Off leash under control of owner,420e6caa-bd46-43a8-b66d-531d51a6330c
6,59,1,Cliff Gaskin Reserve,yes,Makara,-41.26252,174.693982,0,0,Off leash,Off leash under control of owner,42907305-785c-40ff-ad21-8c5a11b38e4c
7,60,1,Ataturk Memorial,no,Strathmore Park,-41.339427,174.82225,0,0,Off leash,Off leash under control of owner,d60280ca-30b0-4c0e-b240-d66e9e044aa5
8,61,1,Seton Nossiter Park,no,Grenada Village,-41.212461,174.816768,0,0,Off leash,Off leash under control of owner,a3457420-ddb8-420f-b22b-09ecd77bcb59
9,62,1,Waihinahina Park,no,Newlands,-41.221461,174.836538,0,0,Off leash,Off leash under control of owner,13fae79e-7449-4492-90c8-fefb4969dc07
10,63,1,Trelissick Park,yes,Ngaio,-41.258575,174.770396,0,0,Off leash,Off leash under control of owner,85d24bc9-edf3-4490-8776-05d777c45f17
11,64,1,Carrara Park ,yes,Newtown,-41.315264,174.783853,0,0,Off leash,Off leash under control of owner,956425f9-aaab-4de0-9b2a-45e43039de5b
12,65,1,Liardet and Balfour St corner,yes,Berhampore,,,0,0,Off leash,Off leash under control of owner,7e10abcd-8f63-4909-9c26-5d0d487e8b76
13,66,1,Tawatawa Reserve,yes,Owhiro Bay,-41.331059,174.761586,0,0,Off leash,Off leash under control of owner,4aeb523b-7172-4e62-ad0f-47b78940a517
14,67,1,Te Ahumairangi Slopes,no,Thorndon,-41.275021,174.76531,0,0,Off leash,Off leash under control of owner,3c585d57-1af9-46d9-930d-f9cd300e436b
16,69,1,MacAlister Park,no,Berhampore,,,0,0,Off leash,Off leash under control of owner,84413b6c-ddfe-4785-9b3e-fc4b17e46d59
17,70,1,Monaghan Rd Reserve,yes,Karori,,,0,0,Off leash,Off leash under control of owner,d7779cc6-29a2-40ca-b89b-5c916c181510
18,71,1,Meekswood Reserve,yes,Johnsonville,,,0,0,Off leash,Off leash under control of owner,23e94b2a-83dd-4c33-b7a8-3e92fc6b2bf8
19,72,1,Cummings Park,no,Ngaio,,,0,0,Off leash,Off leash under control of owner,9a0aeb78-f637-4394-8405-146ed77eeeb7
20,73,1,Churton Park,yes,Churton Park,,,0,0,Off leash,Off leash under control of owner,4a987bba-b19d-4cd4-902c-6858ae9c061c
21,74,1,Arthur Carmen,yes,Tawa,,,0,0,Off leash with restrictions,Off leash 1 November to 31 January only.  Prohibited the rest of the year,10b09ab1-7a9c-4d47-b74d-9c4e7e3d0ecc
22,75,1,Tukanae St Reserve,yes,Strathmore Park,,,0,0,Off leash,Off leash under control of owner,ee886ae1-2cbd-47dc-a5e3-aa1cd0455490
23,76,1,Kowhai Park,no,Brooklyn,,,0,0,Off leash,Off leash under control of owner,7f9659e6-9220-4a0b-92aa-746a05e6ff87
24,77,1,Ellice St Quarry,yes,Mt Victoria,,,0,0,Off leash,Off leash under control of owner,40eb3f64-68e2-4b0f-81cf-b762cc8624ab
25,78,1,Hataitai Park,yes,Hataitai,,,0,0,Off leash,Off leash under control of owner,411052f1-3431-4946-82ba-3b2e3a3c5af0
26,79,1,Mt Albert Park,yes,Berhampore,,,0,0,Off leash,Off leash under control of owner,e1e031fb-0577-4adf-bdda-43d8998a0ec9
27,80,1,Sinclair Park,yes,Houghton Bay,,,0,0,Off leash,Off leash under control of owner,3a866a37-77bd-4c93-a50a-4c982656c1a7
28,81,1,Bann St,yes,Southgate,,,0,0,Off leash,Off leash under control of owner,8657d9f0-0f7f-4030-a6b1-248b7a8dfe1b
29,82,1,Reef St,yes,Island Bay,,,0,0,Off leash,Off leash under control of owner,6c851c19-76fe-409d-9bb1-72baac687696
30,83,1,Silverstream Road Reserve,yes,Ngaio,,,0,0,Off leash,Off leash under control of owner,b5eb465f-7a56-4ebe-9a29-bfe2a5b997b9
31,84,1,Charles Plimmer Park,no,Mt Victoria,,,0,0,Off leash,Off leash under control of owner,91993c23-4962-443c-9b5d-13bf56cba626
32,85,1,Izard Park,yes,Wilton,,,0,0,Off leash,Off leash under control of owner,b804fa95-b458-4601-9e50-e5c730310d01
33,86,1,Grasslees Reserve,yes,Tawa,,,0,0,Off leash,Off leash under control of owner,4f82a354-f5ed-4ee1-b7e7-fb2fbc0c8508
34,87,1,Flinders Park,yes,Johnsonville,,,0,0,Off leash,Off leash under control of owner,8d054295-ac92-4421-9c95-8b3471564f00
35,88,1,The Terrace,yes,Wellington Central,,,0,0,Off leash,Off leash under control of owner,17087f15-8261-4b73-8b8f-f9118617c0b9
36,89,1,Spenmore St Park,yes,Newlands,,,0,0,Off leash,Off leash under control of owner,d8871b88-84b0-403a-848b-460c17c0e3a7
37,90,1,Ohiro Park (aka Tanera Park),yes,Brooklyn,,,0,0,Off leash,Off leash under control of owner,68679145-e1a0-4765-97a0-ae0ec30db559
38,91,1,Odell Reserve,yes,Khandallah,,,0,0,Off leash,Off leash under control of owner,9c5d96b7-e05f-49cb-8eb9-7224465859a0
39,92,1,Newtown Park,yes,Berhampore,,,0,0,Off leash,Off leash under control of owner,a2d32058-fa4c-484a-8936-6c08ee28baf3
40,93,1,Edward Wilson Park,yes,Churton Park,,,0,0,Off leash,Off leash under control of owner,db2e5709-363f-48c8-9a24-b208ecee8f73
41,94,1,Mitchell Downs School Site,yes,Aro Valley,,,0,0,Off leash,Off leash under control of owner,c78a0619-a52c-4cdc-a368-1a6ae79d0131
42,95,1,Cashmere Park,yes,Khandallah,,,0,0,Off leash,Off leash under control of owner,93f9498b-ba09-46b9-bd16-8595c88ee925
43,96,1,Worser Bay/Awa Rd corner,yes,Seatoun,,,0,0,Off leash,Off leash under control of owner,916af0bc-3283-470e-9f24-e0e70932a33b
44,97,1,Te Ahumairangi Hill,no,Northland,,,0,0,Off leash,Off leash under control of owner,51ef268b-009a-4589-878c-2daca464cbf5
45,98,1,Cog Park,yes,Hataitai,,,0,0,Off leash,Off leash under control of owner. The site is fully fenced.,eb1d03fe-f4b8-41d4-bf91-a31a5d5b1098
46,99,1,Willowbank Park,no,Tawa,,,0,0,Off leash,Off leash under control of owner,923b4bbf-f8c6-4184-9495-d80152c02647
47,100,1,Willowbank Park,no,Tawa,,,0,0,Off leash,Off leash under control of owner,303cb825-6f07-408c-921f-b724311f21f5
48,101,1,Taylor Park,yes,Tawa,,,0,0,Off leash,Off leash under control of owner,0ee0074f-d2f6-4cb2-89ae-aa03f8ab96c3
49,102,1,Dorrie Leslie Park,yes,Lyall Bay,,,0,0,Off leash,Off leash under control of owner,cc57b900-a53b-4421-89f1-4b417fb539ef
51,111,1,Chelmsford Reserve,yes,Ngaio,,,0,0,Off leash,Off leash under control of owner,07e99581-4d97-4198-96c9-3341599c8334
52,126,1,Vice Regal North,no,Newtown,,,0,0,Off leash,Off leash under control of owner,cdd21245-8329-42de-bbf5-432874333edc
53,127,1,Alexandra Road West,yes,Newtown,,,0,0,Off leash,Off leash under control of owner,6a699bb2-6efe-477a-a7c0-3220ac4b3dca
54,137,0,Tarakena Bay Beach,yes,Moa Point/Breaker Bay,,,0,0,Prohibited, ,0284ee22-957f-4650-8ccb-b550606d6a89
55,138,0,Palmer Head,Yes,Breaker Bay,,,0,0,Prohibited, ,4b1fe02e-24ab-410f-b086-4939435071f8
56,139,1,Lyall Bay Beach,Yes,Lyall Bay,,,0,0,Off leash,Off leash under control of owner,4f1772e6-807b-4a5f-be3e-b9f4498f428e
57,140,0,Lyall Bay Beach Probited Area,yes,Lyall Bay,,,0,0,Prohibited, ,dd5fb0df-c4ba-4086-ab16-53fb9aa333bd
58,141,3,Island Bay Beach,Yes,Island Bay,,,0,0,On leash with restrictions,On leash before 9am and after 7pm during daylight saving.  On leash at all times in winter,29ccf202-2fe0-4231-971b-0c52f655146e
59,142,0,Island Bay Beach - Prohibited,yes,Island Bay,,,0,0,Prohibited, ,538b4015-0d3d-4a11-8745-d6b4c97b7fdd
60,143,0,Princess Bay Beach - Prohibited,yes,Houghton Bay,,,0,0,Prohibited, ,a2af78ed-9650-4043-9c5c-aad1ffc2d765
61,144,0,Scorching Bay Beach - Prohibited,Yes,Karaka Bays,,,0,0,Prohibited, ,297f2b98-f094-460a-b129-9f0999542be6
